pid,label_en,label_zh,_date,object_origin,object_type_en,object_type_zh,_source,cultural_context,_collection,current_location_city,collection_num,DPM_1925_inventory_num,1925_inventory_loc,en_measurements,zh_measurements,_rights,NPMT_1983_poem_listing,image_links,pub_1,pub_2,pub_3,pub_4,pub_5,pub_6,text_title_zh,text_title_en,inscription_position,inscription_author,inscription_text_zh,inscription_text_en,Pub_Text_Chinese_Complete,西域圖志,pub_text_source,pub_text_volume,pub_text_chapter,pub_text_page,sexagenary_year,reign_year,notes_detail,text_ref,museum_catalogue,_manifest,_tags
Jade001,"Grayish-green jade bowl (1983); Bowl with deep foot (Taipei 2007/2015); Ash-green jade bowl (Taipei 2002); ""Xiang Fei's bowl"" (Teng 1993)","青灰玉碗 (Taipei 1983, Taipei 2002); 厚足碗 (2015)",1756,中亞 Central Asia; specifically Kashgar (see notes),bowl,椀,,Uighur,NPMT,,古玉0636,天348,乾清宮 QQG,rim diameter: 13.5cm; ringfoot diameter: 6.2cm; height: 5.6cm; bodywall thickness one-third below rim: 0.3cm,,OA,1,https://antiquities.npm.gov.tw/Utensils_Page.aspx?ItemId=51055,Taipei 1983 pp126-127,Taipei 2007 p30 cat002,Taipei 2015 p27 cat002,Taipei 2002 p153 catIV-21,Teng 1993,,玉椀,Jade bowl,Outer wall,,"玉椀來回部,輸誠供闔閶,召公懷不寶,韓子戒無當,異致白毛鹿,引恬頳尾魴,勞徠非力并,天眷奉昭彰。 Note that as incised on bowl, 回 is rendered with the highly derogatory dog radical preceding the component for ""hui.""",Note trans Teng 2004 p40,"玉椀來回部,輸誠供闔閶,召公懷不寶,韓子戒無當,異致白毛鹿,引恬頳尾魴 (回部葉爾奇木哈什哈爾初役屬於準噶爾,為所拘縶,因我大軍戡定伊犁,始釋之令歸所部,其長伯克和卓遣使求內屬,此其所貢也), 勞徠非力并,天眷奉昭彰。 ","玉椀來回部,輸誠供闔閶,召公懷不寶,韓子戒無當,異致白毛鹿,引恬頳尾魴(役回属部於葉凖爾噶羌爾喀為什所噶拘爾縶初长因伯我克大和軍卓勘谴定使伊求梨丙始屬释此之其所也部其)勞徠非力并,天眷奉昭彰.",御製詩,二集,卷65,頁18,丙子,(乾隆二十一年1756年),"此詩加琢於該玉碗外壁,藏於本院,品號天三四八,圖版壹,插圖30。 Taipei 2015 p233: ""...from the (Qianlong) Collected Poems we know that this piece was sent in tribute in 1756 from a Muslim leader from Kashgar...This tribute accompanied the Muslim leader's sister, who was destined to become an imperial concubine. Given the name Rong Fei, she was more commonly known as...'the Fragrant Concubine.'""",https://ctext.org/library.pl?if=gb&file=71130&page=97,http://antiquities.npm.gov.tw/Utensils_Page.aspx?ItemId=51055,,
Jade002,Large green jade dish,碧玉大盤,1757,Central Asia (trophy acquired after Amursana defeat),dish,盤,,Central Asian,DPM,,故093385,委507,,"Rim Diameter: 65.3cm, Base Diameter: 25.0cm, Height: 9.6cm","口徑65.3、
底徑25、 
高9.6厘米",,2,,HK 2015 p40/46/198,,,,,,玉盤瑤/謠,Song of the jade dish (HK 2015),Interior center,,"玉椀來回部,輸誠供闔閶,召公懷不寶,韓子戒無當,異致白毛鹿,引恬頳尾魴,勞徠非力并,天眷奉昭彰。 Note that as incised on bowl, 回 is rendered with the highly derogatory dog radical preceding the component for ""hui.""",,"
玉盤博徑得二尺，圍六尺有(去聲)五寸益。虛中盛水受一石，素質不雕其色碧。 旁達孚尹瓊華澤，葆光撫不留手跡。羣玉之精出菎崙，吉日甲子天子賓。 于西王母瑶池津，行觴介紹簠簋罇。爾時所御器今存，作鎮西極永好完。 未入震旦三千年，問今何來不脛偶。準噶爾亡淪世守，阿睦撒納茲竊取。 王師罙入靖孽醜，於將獲之聮猭走。棄其重器為我有，元英大呂陳座右。 咄哉玉盤徒華滋，不可食兮不可衣。連城價詎如窮奇，俘彼禍除可罷師。 前歌後舞樂雍熙，瓌玩吾將安用之。擬付剿人一例椎。",玉盤博徑得二尺，圍六尺有(去聲)五寸益。虛中盛水受一石，素質不雕其色碧。 旁達孚尹瓊華澤，葆光撫不留手跡。羣生之精出菎崙，吉日甲子天子賓。於西王母瑶池津，行觴介紹簠簋罇。爾時所御器今存，作鎮西極永好完。 未入震旦三千年，問今何來不脛偶。準噶爾亡淪世守，阿睦撒納茲竊取。 王師罙入靖孽醜，於將獲之聮猭走。棄其重器為我有，元英大呂陳座右。 咄哉玉盤徒華滋，不可食兮不可衣。連城價詎如窮奇，俘彼禍除可罷師。 前歌後舞樂雍熙，瓌玩吾將安用之。擬付剿人一例椎。,御製詩,二集,卷75,頁3,乾隆（ 1757）,(乾隆二十三年1758年),"至乾隆四十年時,高宗賦“和闐採玉”一詩,詩註中記錄此事:「平定伊犁以後,陸睦爾撒納叛走,王師追擒得其所棄玉盤一, 徑二尺圍六尺有奇,中可受水一石,蓋準部盛時琢以盛酪漿者,戊寅春進至,會紀以詩,及耕屯旣開,壬午春墾地者復獲其一以進,形制尺寸並同,仍叠前韻紀之。」 Also included in 《皇輿西域圖志》 卷四十一，頁五，“御製玉盤椀（戊寅）”",https://ctext.org/library.pl?if=gb&file=71134&page=8,,,
Jade003,Green jade bowl,碧玉碗,1758,Central Asia (trophy acquired after Amursana defeat),teabowl,茶椀,,Central Asian,DPM,,故100930,金1604.9,永壽宮 YSG,"Rim Diameter: 13.2cm, Base Diameter: 4.9cm, Height: 5.9cm","口徑13.2、
底徑4.9、
高5.9厘米",,3,,HK 2015 p40/47/198,,,,,,詠玉茶椀,Song on a jade teabowl,Exterior wall ,,"于闐何必購奩環,通貢薄來每厚還,保定不期致達域,琢磨亦復藉他山。示禎碧落星辰表,延喜明廷樽俎問,漉雪浮香真恰當,思推解渴福區寰。 ",,"
玉盤博徑得二尺，圍六尺有(去聲)五寸益。虛中盛水受一石，素質不雕其色碧。 旁達孚尹瓊華澤，葆光撫不留手跡。羣玉之精出菎崙，吉日甲子天子賓。 于西王母瑶池津，行觴介紹簠簋罇。爾時所御器今存，作鎮西極永好完。 未入震旦三千年，問今何來不脛偶。準噶爾亡淪世守，阿睦撒納茲竊取。 王師罙入靖孽醜，於將獲之聮猭走。棄其重器為我有，元英大呂陳座右。 咄哉玉盤徒華滋，不可食兮不可衣。連城價詎如窮奇，俘彼禍除可罷師。 前歌後舞樂雍熙，瓌玩吾將安用之。擬付剿人一例椎。",于闐何必購奩環，通貢薄來每厚還。保定不期致遠域，琢磨亦復藉他山。示禎碧落星辰表，延喜明廷樽俎間。漉雪浮香真恰當，思推解渴福區寰。,御製詩,二集,卷78,頁17,戊寅,(乾隆二十三年1758年) ,Inscription also published in《皇輿西域圖志》卷四十二，頁九，“御製詠玉茶椀（戊寅）”,https://ctext.org/library.pl?if=gb&file=71135&page=35,,,
Jade004,,,1759,,bowl,椀 ,,Uighur,,,,,,,,,4,,,,,,,,玉椀 ,Jade bowl,,,"會未于闐遣使求,堅昆玉椀自來投,詎云有翼千斤獻,那肯無端大白浮。賢問乃明君子德,工言幾誤楚人璆,歲時宴饗斟香茗,延喜明廷弈葉庥。 ",,"會未于闐遣使求,堅昆玉椀自來投,詎云有翼千斤獻,那肯無端大白浮。賢問乃明君子德,工言幾誤楚人璆,歲時宴饗斟香茗,延喜明廷弈葉庥。 ","會未于闐遣使求,堅昆玉椀自來投,詎云有翼千斤獻,那肯無端大白浮。賢問乃明君子德,工言幾誤楚人璆,歲時宴饗斟香茗,延喜明廷弈葉庥。",御製詩,二集,卷83,頁27,已卯,(乾隆二十四年1759年) ,,https://ctext.org/library.pl?if=gb&file=71136&page=164,,,
Jade005,,,1762,,shallow dish,盤,,Uighur,,,,,,,,,5,,,,,,,,玉盤聯句 ,Linked verses on a jade dish,,,"No texts included in NPMT 1983p32-33: ""此為乾隆二十七年(壬午1762年),清高宗為了新獲得的一件回部的玉盤,在重華宮曲宴傅恒、來保、劉統勳、兆惠等,共二十四位內廷大學士翰林,君臣相互唱答的聯句,並有序及七言律詩二首,詩長無法全錄。""",,"玉盤聫句
Preface:（有序）
懐任協紀齊頌九譯之春娵訾迎韶早展重華之宴試覔新題於甲觀寧沿舊例乎辛盤則有西部輸珎尚方典器青筠浮面一雙承露交擎碧萏為趺三五曜靈滿暈始也軍諮驛逓未碎斗而楚帳烏飛繼焉屯長犁翻存竊鉤而魯庭盜走失守見可敦並棄龍沙鼂采猶韜得時思咱馬同陳魚海土花不蝕矧乃泥都椀進朝端餵肉無煩和卓篘來徼外分醪足樂維

鴻庥告永清之會正神物昭終合之期既偕地出圜鐘元氣兼通乎/異域還應霄呈疊璧貞符適葉於前年當茲什龍初披六巡載詠禁中頗牧胥目屬以爭誇臺上鄂褒亦手捫而暗認繄爾韻催銅缽程功庶慶其得全顧予銘切金甌記實蘄箴夫持滿

Poem 1
QL verses（御製）
令日青宮集近臣，聫吟例許列文茵。
玉盤先後來殊域，
Verses by Dai Heng（臣傅恒）
石鼎推敲繼綺晨。
隔歲紫光圖凱會，韶年蒼縡答精禋。
東升旭影霞初絢，
Verses by Lai Bao（臣來保）
西繞山容黛半皴。
綵勝吉占迎曙燦，花幡芳信飏風頻。
鶯遷柳放梭初擲，
Verses by Liu Tongxun（臣劉統勛）
魚樂冰開尾有莘。
節應棣通蠲榖旦，律調泰蔟協初旬。
菜挑七種羅肴核，
Verses by Zhao Hui（臣兆惠）
裘粲三英集組紳。
坐列共球昭拓土，班添氈罽賀填闉。
辟邪遠掃天堂穴，（御製）延喜遙開月竁垠。
猶憶逐犇阿睦爾，因緣收器額琳秦（番語謂寶為額琳秦）。

Poem 2
QL verse
壹之為甚寧思二（御製），

天且無違而況人。
果見獻琛來攘攘，誰容遊釜走踆踆。
衛拉四部全歸吏（臣梁詩正），

厄魯千羣総𨽻民。
遂有白環踰弱水，同時青鉢供香塵。
寶裝鞞琫芙蓉鍔（臣陳惠華），

繅藉圭璋翡翠綸。
𠽾嚕篘文鐫詰屈，堅昆椀璞剖嶙㟒。
汗溝流赭毛頒馬（臣劉綸），

陽冶镕黃趾鑄麟。
九府圜型工肉好，三河方折採奫淪。
苞符自效圖書藪（臣舒赫德），
（御製）瓌異奚誇冠帶倫。
欲墾伊犁興稼穡，誰埋大窖出璘珣。
護呵信是資丁甲（御製），博識何須問癸辛。
若木葩旉分韞匵，望舒暈滿儷浮筠。
昔年苜蓿充沙漠（臣於敏中），此日琉璃對柍桭。
瓊笥駢函重玨輯，瑤階聨晉六符陳。
圍三渾約涵規數（臣錢汝誠），倍兩橫當布指循。
累譯走偕車轣轆，他山攻借石磨磷。
那誇琬琰呈和璞（臣介福），詎數㻬琈出帝囷。
頒瑞記曾探大酉，搜源跡直溯西申。
窺同象緯聯璣璧（臣何國宗），（御製）薦旅梯航配鰈鷷。
劍契豐城語豈誕，珠還合浦事誠神。
乾坤奇偶成交泰（御製），雷雨經綸濟險屯。
寶玉彤弓疇許盜，元音大呂不終湮。
性原特達馳包匭（臣觀保），質秉堅剛協化鈞。
幾試崑炎光獨葆，潛通虹氣蟄還伸。
連城價詎千金重（臣王際華），照廡芒驚五色勻。
輻湊璵璠徵合軌，種滋蒲穀騐同畇。
捧來有澤能盈手（臣錢維城），選得無瑕可澡身。
容炙具先超鼎耳，斟膏用或並杯唇。
雙飛入襲輝相照（臣張泰開），（御製）二妙同臺意自親。
侍從今時昔上將，追陪密席遠嘉賓（是日御前蒙古王公亦在座）。
武成久矣人心豫（御製），賮獻駢如地寶臻。
響應鑮鐘尊典樂，製侔獵鼓掌成均。
夜光互燭聯形影（臣王會汾），鼌采交輝象介僎。
何俟得璜偏海澨，本來投石自天濱。
躍淵似擊蕤賓鐵（臣金甡），啟礦如探安息銀。
煜煜鴻儀剛比德，斑斑龍輔恰為鄰。
紋凝水碧痕微吐（臣陳兆崙），㢘劚山元體最純。
細較廣袤齊尺寸，遙覘氣象炳星辰。
中涵溫潤疑丹甑（臣倪承寬），（御製）外達菁英異綠瑉。
象協地天含太極，圓呈日月麗雙輪。
巧諧訝似能飛鏡（御製），遠届欣同不脛珎。
定識洪爐奇締造，無勞哲匠費陶甄。
眾形雕刻天工錯（臣邊繼祖），圓蓋帡幪睿藻彬。
授簡載賡敶黼座，盍簪依永上楓宸。
嘉祥喜葉南山祝（臣盧文弨），燕飲歡㪺北斗醇。
魯寶承匜歌酌賚，荊璆琢敦舞章斌。
鏤雲列架赪虬臥（臣謝墉），散彩流蘇紫鳳馴。
惠浹長筵銘瑞甕，樂張廣殿捋和錞。
蓼芽入饌才逢谷（臣汪永錫），（御製）椒蕊粘屏始建寅。三品果盛回部味，九華鐙映上元春。
敢誇禹貢傳西被，惟對湯盤凜日新（御製）。
","玉盤聫句（有序）
懐任協紀齊頌九譯之春娵訾迎韶早展重華之宴試覔新題於甲觀寧沿舊例乎辛盤則有西部輸珎尚方典器青筠浮面一雙承露交擎碧萏為趺三五曜靈滿暈始也軍諮驛逓未碎斗而楚帳烏飛繼焉屯長犁翻存竊鉤而魯庭盜走失守見可敦並棄龍沙鼂采猶韜得時思咱馬同陳魚海土花不蝕矧乃泥都椀進朝端餵肉無煩和卓篘來徼外分醪足樂維

鴻庥告永清之會正神物昭終合之期既偕地出圜鐘元氣兼通乎異域還應霄呈疊璧貞符適叶於前年當茲什龍初披六巡載詠禁中頗牧胥目屬以爭誇臺上鄂褒亦手捫而暗認繄爾韻催銅缽程功庶慶其得全顧予銘切金甌記實蘄箴夫持滿

（御製）令日青宮集近臣，聫吟例許列文茵。
玉盤先後來殊域，石鼎推敲繼綺晨。
隔歲紫光圖凱會，韶年蒼縡答精禋。
東升旭影霞初絢（臣傅恒），西繞山容黛半皴。
綵勝吉占迎曙燦，花幡芳信飏風頻。
鶯遷柳放梭初擲（臣來保），魚樂冰開尾有莘。
節應棣通蠲榖且，律調泰蔟協初旬。
菜挑七種羅肴核（臣劉統勛），裘粲三英集組紳。
坐列共球昭拓土，班添氈罽賀填闉。
辟邪遠掃天堂穴（臣兆惠），（御製）延喜遙開月竁垠。
猶憶逐犇阿睦爾，因緣收器額琳秦（番語謂寶為額琳秦）。
一之為甚寧思二（御製），天且無違而況人。
果見獻琛來攘攘，誰容遊釜走踆踆。
衛拉四部全歸吏（臣梁詩正），厄魯千羣総𨽻民。
遂有白環踰弱水，同時青鉢供香塵。
寶裝鞞琫芙蓉鍔（臣陳惠華），繅藉圭璋翡翠綸。
𠽾嚕篘文鐫詰屈，堅昆椀璞剖嶙㟒。
汗溝流赭毛頒馬（臣劉綸），陽冶镕黃趾鑄麟。
九府圜型工肉好，三河方折採奫淪。
苞符自效圖書藪（臣舒赫德），（御製）瓌異奚誇冠帶倫。
欲墾伊犁興稼穡，誰埋大窖出璘珣。
護呵信是資丁甲（御製），博識何須問癸辛。
若木葩旉分韞匵，望舒暈滿儷浮筠。
昔年苜蓿充沙漠（臣於敏中），此日琉璃對柍桭。
瓊笥駢函重玨輯，瑤階聨晉六符陳。
圍三渾約涵規數（臣錢汝誠），倍兩橫當布指循。
累譯走偕車轣轆，他山攻借石磨磷。
那誇琬琰呈和璞（臣介福），詎數㻬琈出帝囷。
頒瑞記曾探大酉，搜源跡直溯西申。
窺同象緯聯璣璧（臣何國宗），（御製）薦旅梯航配鰈鷷。
劍契豐城語豈誕，珠還合浦事誠神。
乾坤奇偶成交泰（御製），雷雨經綸濟險屯。
寶玉彤弓疇許盜，元音大呂不終湮。
性原特達馳包匭（臣觀保），質秉堅剛協化鈞。
幾試崑炎光獨葆，潛通虹氣蟄還伸。
連城價詎千金重（臣王際華），照廡芒驚五色勻。
輻湊璵璠徵合軌，種滋蒲穀騐同畇。
捧來有澤能盈手（臣錢維城），選得無瑕可澡身。
容炙具先超鼎耳，斟膏用或並杯唇。
雙飛入襲輝相照（臣張泰開），（御製）二妙同臺意自親。
侍從今時昔上將，追陪密席遠嘉賓（是日御前蒙古王公亦在座）。
武成久 矣人心豫（御製），賮獻駢如地寶臻。
響應鑮鐘尊典樂，製侔獵鼓掌成均。
夜光互燭聯形影（臣王會汾），鼌采交輝象介僎。
何俟得璜偏海澨，本來投石自天濱。
躍淵似擊蕤賓鐵（臣金甡），啟礦如探安息銀。
煜煜鴻儀剛比德，斑斑龍輔恰為鄰。
紋凝水碧痕微吐（臣陳兆崙），㢘劚山元體最純。
細較廣袤齊尺寸，遙覘氣象炳星辰。
中涵溫潤疑丹甑（臣倪承寬），（御製）外達菁英異綠瑉。
象協地天含(涵)太極，圓呈日月麗雙輪。
巧諧訝似能飛鏡（御製），遠届欣同不脛珎。
定識洪爐奇締造，無勞哲匠費陶甄。
眾形雕刻天工錯（臣邊繼祖），圓蓋帡幪睿藻彬。
授簡載賡敶黼座，盍簪依永上楓宸。
嘉祥喜叶南山祝（臣盧文弨），燕飲歡㪺北斗醇。
魯寶承匜歌酌賚，荊璆琢敦舞章斌。
鏤雲列架赪虬臥（臣謝墉），散彩流蘇紫鳳馴。
惠浹長筵銘瑞甕，樂張廣殿捋和錞。
蓼芽入饌才逢谷（臣汪永錫），（御製）椒蕊粘屏始建寅。三品果盛回部味，九華鐙映上元春。
敢誇禹貢傳西被，惟對湯盤凜日新（御製）。
",原詩御製詩,三集,卷17,頁16b—21b ,壬午,乾隆27年 (1762),"NPMT 1983p32-33 ""此為乾隆二十七年(壬午1762年),清高宗為了新獲得的一件回部的玉盤,在重華宮曲宴傅恒、來保、劉統勳、兆惠等,共二十四位內廷大學士翰林,君臣相互唱答的聯句,並有序及七言律詩二首,詩長無法全錄。""",https://ctext.org/library.pl?if=gb&file=71166&page=149,,,
Jade006,,,1763,,casket,匣,,,,,,,,,,,6,,,,,,,,御製博洛爾部沙默沙瑚特伯克所進武器製匣藏之並紀是什,,,,"御製博洛爾部沙默沙瑚特伯克所進武器製匣藏之並紀是什(回劍)文列星行光溢濤,切崑璆似斷秋毫,于闐西去千餘里,那數尋常玉欛刀。(回斧)齊斧言旋早洗兵,更無拓遠祇持盈,集鱗流仰寧當拒,厚往惟嘉底貢誠.
",,"御製博洛爾部沙默沙瑚特伯克所進武器製匣藏之並紀是什(右回劒)齊斧言旋早洗兵,更無拓遠祇持盈,集鱗流仰寧當拒,厚往惟嘉底貢誠.(右回斧)文列星行光溢濤,切崑璆似斷秋毫,于闐西去千餘里(博洛爾在和闐西幾二千里, 和闐即古于闐也),那數尋常玉欛刀(宋開寶二年于闐貢玉欛刀)。","(右回劒)齊斧言旋早洗兵,更無拓遠祇持盈,集鱗流仰寧當拒,厚往惟嘉底貢誠。 (右回斧)文列星行光溢濤,切崑璆似斷秋毫,于闐西去千餘里(博洛爾在和闐西幾二千里, 和闐即古于闐也),那數尋常玉欛刀(宋開寶二年于闐貢玉欛刀)。",御製詩,三集,卷27,頁9,癸未,(乾隆二十八年1763年),"由內容無法確知此劍、斧的柄是否玉製,因此爲西邊入貢之器,暫列於此。 ",https://ctext.org/library.pl?if=gb&file=71171&page=127,,,
Jade007,"Large green jade lobed dish (as published, but Chinese is same for 007 and 008 as ""shape of a water chestnut.""","碧玉
葵花式盤",1763,Central Asia,dish,盤 ,,Uighur/Central Asian,DPM,,故103477,呂3072,養心殿 YXD,"Rim Diameter: 52.5cm, Base Diameter: 9.3cm, Height: 9.5cm",口徑52.5、底徑29.3、高9.5厘米,,7,,HK2015 p40/46/199,,,,,,碧玉盤謠 ,Song on a Green Jade Dish,Interior center,,"碧玉之盤徑逾尺，質本規圎色光澤。 準夷重器守世則，貯以馬湩可盈石。
穹廬玉醴斯陳席，以招百幅繁生息。 仁義不施攻守易，矯虔奪攘紛兵革。
休屠金人且弗惜，玉盤自合棄荒棘。 磕破邊角秦璽阸，伊犁墾田耕者獲。 
驛使致京飛不翼，取裁改作葵花式。 穆然完好綈幾側，湯之盤銘日新德。
用識顛末苕華勒。",,碧玉之盤徑逾尺，質本規圓色光澤。凖夷重器守世則，貯以馬湩可盈石。穹廬玉醴斯陳席（凖俗四月馬湩新得時置筵酬神詐馬為慶謂之玉醴斯蒙古亦然但不如其盛耳），以招百福繁生息。仁義不施攻守易，矯䖍奪攘紛兵革。休屠金人且弗惜，玉盤自合棄荒棘。磕破邊角秦璽阸，伊犁墾田耕者獲。驛使致京飛不翼，取裁改作葵花式。穆然完好綈几側，湯之盤銘日新徳。用識顛末苕華勒。,碧玉之盤徑逾尺，質本規圓色光澤。凖夷重器守世則，貯以馬湩可盈石。穹廬玉醴斯陳席(凖俗新俗得四时月置馬斯筵蒙酬古神亦诈然馬但蒍不慶如詴其之盛醴)以招百福繁生息。仁義不施攻守易，矯䖍奪攘紛兵革。休屠金人且弗惜，玉盤自合棄荒棘。磕破邊角秦璽阸，伊犁墾田耕者獲。驛使致京飛不翼，取裁改蒍葵花式。穆然完好綈几側，湯之盤銘日新徳。用識顛末苕華勒。,御製詩,三集,卷29,頁27,癸未,(乾隆二十八年1763年) ,"Text also published in 《皇輿西域圖志》卷四十一 ，頁十二，“御製碧玉盘謠（癸未）""",https://ctext.org/library.pl?if=gb&file=71172&page=115,,,
Jade008,Green jade dish in the shape of a water chestnut,"碧玉
葵花式盤",1764,Central Asia,dish,盤,,Central Asian,DPM,,故103476,呂3018,養心殿 YXD,"Rim Diameter: 52.5cm, Base Diameter: 29.3cm, Height: 7.5cm","口徑52.5、
底徑29.3、
高7.5厘米",,8,,HK2015 p43/49/199,,,,,,碧玉盤謠疊舊作韻,Song of the Green Jade Dish in Rhyme with an Old Work,interior center,,"玉不自言艱致尺，衛拉所有守世澤。磕損改作中規則，形肖葵花非楚石。 
惜其獨置於筍席，和闐六城久休息。 產玉嵗貢春秋易，更畨驛遞盛以革。 
相材琢磨工豈惜，閲時成盤等垂棘。 舊器既免播越阸，新器更慶良朋獲。
物必有偶如烏翼，連珎萃羙昭良式。承惟檀几不欹側，疊韻載詠誌合徳。
匪誇我武揚疏勒。",,"(序)癸未歲,伊犁守臣驛致墾田,所獲碧玉盤一,惜其缺損,因就材琢以葵形,賦詩誌事。今就和闐貢玉中,復成此盤,尺度色澤與前盤宛然無別,然彼幾阸於兵燹之餘,此久隱於山澤之畔,夷險殊塗,同登清燕,仍用前韻成篇,以誌有美必合云爾。 

玉不自言艱致尺,衛拉所有守世澤,磕損改作中(去聲)規則,形肖葵花非楚石,惜其獨置於筍席,和闐六城久休息,產玉歲貢春秋易,更番驛遞盛以革,相材琢磨工豈惜,閱時成盤等垂棘,舊器旣免播越阸,新器更慶良朋獲,物必有偶如鳥翼,連珍萃美昭良式,承惟檀几不欹側,疊韻載詠誌合德,匪誇我武揚疏勒。 ",N/A,御製詩,三集,卷39,頁22,甲申,(乾隆二十九年1764年),"此詩證明,乾隆二十九年時,便用和阗玉材仿雕痕都斯坦玉器,惜詩未加琢於器表,故未能於實物中核對。 Jade077 poem has same title 玉盤謠疊舊作韻 but different text",https://ctext.org/library.pl?if=gb&file=71177&page=45 and https://ctext.org/library.pl?if=gb&file=71177&page=46,,,
Jade009,Pale green jade dish,青玉盤,1767,Central Asia,dish,盤,,Central Asian,DPM,,新051614,NA,NA,"Rim Diameter: 29.0cm, Base Diameter: 12.5cm, Height: 9.5cm",口徑29，底經12.5，高9.5cm,,9,,HK2015 p40/46/200,,,,,,玉盤謠,Song of the Jade Dish,interior center,,"玉盤昔為厄魯用，定功獻闕早曾頌。那無遺棄沈沙間，概弗搜求勞驛送。
回城伯克覲輪年，以此表誠充土貢。貢亦弗卻賞從厚，仍愧不脛天府羾。 
徒觀製樸泯雕鏤，鼂彩輝輝盈尺洞。崑崙重器昔成謠，深足圓唇此其仲。
乳香久謝貯穹盧，幸爾文筵伴清供。幸兮謝兮盤兩忘，我則湯銘思折中。",,玉盤昔為厄魯用，定功獻闕早曽頌。那無遺棄沈沙間，概弗捜求勞驛送。回城伯克覲輪年，以此表誠充土貢。貢亦弗却賞從厚，仍愧不脛天府羾。徒觀製朴泯雕鏤，鼂彩輝輝盈尺洞。崑崙重器昔成謡，深足圓脣此其仲。乳香久謝貯穹廬，幸爾文筵伴清供。幸兮謝兮盤兩忘，我則湯銘思折中。,N/A,御製詩,三集,卷61,頁2,丁亥,(乾隆三十二年1767年) ,,https://ctext.org/library.pl?if=gb&file=68088&page=67,,,
Hindustan Jades,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
